Command: /home/users9/jp581081/526LSP21/LAB7/./simv -l rom.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Apr 11 22:20 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                   0:ADDR= 4 | CS=0 OE=1 | DATA_ROM=58 || CS=1 OE=0 WS=x | DATA_RAM=zz
                  10:ADDR= 4 | CS=0 OE=0 | DATA_ROM=zz || CS=0 OE=0 WS=0 | DATA_RAM=zz
                  20:ADDR= 4 | CS=0 OE=1 | DATA_ROM=58 || CS=0 OE=0 WS=0 | DATA_RAM=zz
                  30:ADDR= 4 | CS=0 OE=1 | DATA_ROM=58 || CS=0 OE=0 WS=1 | DATA_RAM=13
                  45:ADDR= 5 | CS=0 OE=1 | DATA_ROM=ed || CS=0 OE=0 WS=0 | DATA_RAM=zz
                  55:ADDR= 5 | CS=0 OE=1 | DATA_ROM=ed || CS=0 OE=0 WS=1 | DATA_RAM=de
                  70:ADDR= 6 | CS=0 OE=1 | DATA_ROM=b7 || CS=0 OE=0 WS=0 | DATA_RAM=zz
                  80:ADDR= 6 | CS=0 OE=1 | DATA_ROM=b7 || CS=0 OE=0 WS=1 | DATA_RAM=ed
                  95:ADDR= 7 | CS=0 OE=1 | DATA_ROM=34 || CS=0 OE=0 WS=0 | DATA_RAM=zz
                 105:ADDR= 7 | CS=0 OE=1 | DATA_ROM=34 || CS=0 OE=0 WS=1 | DATA_RAM=0d
                 120:ADDR= 8 | CS=0 OE=1 | DATA_ROM=c9 || CS=0 OE=0 WS=0 | DATA_RAM=zz
                 130:ADDR= 8 | CS=0 OE=1 | DATA_ROM=c9 || CS=0 OE=0 WS=1 | DATA_RAM=d2
                 145:ADDR= 9 | CS=0 OE=1 | DATA_ROM=8f || CS=0 OE=0 WS=0 | DATA_RAM=zz
                 155:ADDR= 9 | CS=0 OE=1 | DATA_ROM=8f || CS=0 OE=0 WS=1 | DATA_RAM=ea
                 170:ADDR=10 | CS=0 OE=1 | DATA_ROM=a0 || CS=0 OE=0 WS=0 | DATA_RAM=zz
