Command: /home/users9/jp581081/526LSP21/LAB9/./simv -l fifo_FWFT.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  1 18:13 2021
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                   0:rst_n=x, data_in=  1, wr_en=0, almost_full=0, full=0, overflow=x, rd_en=0 data_out=  0, valid=x, almost_empty=1, empty=1, underflow=x, count= 0
                  10:rst_n=x, data_in=  1, wr_en=0, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=1, underflow=0, count= 0
                  20:rst_n=x, data_in=  2, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=1, underflow=0, count= 0
                  30:rst_n=x, data_in=  2, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=0, underflow=0, count= 1
                  40:rst_n=x, data_in=  3, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  0, valid=0, almost_empty=1, empty=0, underflow=0, count= 1
                  50:rst_n=x, data_in=  3, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=1, empty=0, underflow=0, count= 2
                  60:rst_n=x, data_in=  4, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=1, empty=0, underflow=0, count= 2
                  70:rst_n=x, data_in=  4, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count= 3
                  80:rst_n=x, data_in=  5, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count= 3
                  90:rst_n=x, data_in=  5, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count= 4
                 100:rst_n=x, data_in=  6, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count= 4
                 110:rst_n=x, data_in=  6, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count= 5
                 120:rst_n=x, data_in=  7, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count= 5
                 130:rst_n=x, data_in=  7, wr_en=1, almost_full=0, full=0, overflow=0, rd_en=0 data_out=  2, valid=0, almost_empty=0, empty=0, underflow=0, count= 6
